Time(hh:mm:ss),Elapsed Time,Voltage1,Voltage2,Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,19:05:43",401,-0.011,-0.01,,,,
"06-Jun-16,19:05:44",402,-0.008,-0.008,,,,
"06-Jun-16,19:05:45",403,-0.008,-0.013,,,,
"06-Jun-16,19:05:46",404,-0.013,-0.01,,,,
"06-Jun-16,19:05:47",405,-0.006,-0.008,,,,
"06-Jun-16,19:05:48",406,-0.006,-0.013,,,,
"06-Jun-16,19:05:49",407,-0.004,-0.01,,,,
"06-Jun-16,19:05:50",408,0.001,-0.01,,,,
"06-Jun-16,19:05:51",409,-0.007,-0.01,,,,
"06-Jun-16,19:05:52",410,-0.008,-0.011,,,,
"06-Jun-16,19:05:53",411,-0.008,-0.01,,,,
"06-Jun-16,19:05:54",412,-0.007,-0.01,,,,
"06-Jun-16,19:05:55",413,-0.011,-0.01,,,,
"06-Jun-16,19:05:56",414,-0.008,-0.01,,,,
"06-Jun-16,19:05:57",415,-0.01,-0.011,,,,
"06-Jun-16,19:05:58",416,-0.011,-0.014,,,,
"06-Jun-16,19:05:59",417,-0.011,-0.008,,,,
"06-Jun-16,19:06:00",418,-0.011,-0.01,,,,
"06-Jun-16,19:06:01",419,-0.01,-0.01,,,,
"06-Jun-16,19:06:02",420,-0.007,-0.011,,,,
"06-Jun-16,19:06:03",421,-0.004,-0.011,,,,
"06-Jun-16,19:06:04",422,-0.007,-0.014,,,,
"06-Jun-16,19:06:05",423,-0.008,-0.008,,,,
"06-Jun-16,19:06:06",424,-0.004,-0.013,,,,
"06-Jun-16,19:06:07",425,-0.008,-0.013,,,,
"06-Jun-16,19:06:08",426,-0.004,-0.011,,,,
"06-Jun-16,19:06:09",427,-0.006,-0.016,,,,
"06-Jun-16,19:06:10",428,-0.006,-0.013,,,,
"06-Jun-16,19:06:11",429,-0.007,-0.007,,,,
"06-Jun-16,19:06:12",430,-0.004,-0.008,,,,
